loan_amount,customer_income,age,tenure,previous_loans,repayment_history,target
11,4424,42,1,3,1,0
8,6361,20,1,2,0,1
17,9069,25,8,1,0,0
19,2920,50,8,1,1,0
15,5430,59,2,4,1,0
12,6435,52,7,1,1,1
17,6484,23,8,2,1,1
9,4624,56,8,1,1,1
11,5760,40,7,3,1,0
14,4050,42,5,1,1,1
7,5500,36,1,4,1,1
11,3165,22,9,1,0,0
15,2375,28,7,2,1,0
15,9837,29,2,2,1,1
12,4033,27,6,1,0,0
9,8467,25,2,2,1,1
8,2145,41,1,2,0,1
12,8077,45,7,4,1,0
12,6388,58,2,3,1,0
7,9832,53,2,4,1,1
10,2431,54,5,0,1,0
9,2704,38,5,4,0,1
6,9092,25,7,1,1,1
12,8094,26,1,3,1,0
16,4632,32,8,1,1,1
18,6494,57,3,0,1,1
10,8960,35,4,3,1,0
6,9511,59,9,2,1,1
16,2963,37,4,4,0,0
9,9307,23,5,1,1,1
5,4234,29,7,0,1,1
16,4041,19,4,2,1,1
14,3828,24,1,4,0,0
10,4108,33,9,2,0,0
17,6068,20,4,4,1,0
16,2938,20,9,3,1,0
13,9547,44,6,2,1,1
5,6805,57,1,2,1,1
15,2806,55,3,2,1,0
15,3463,50,2,3,1,0
19,9486,45,9,0,0,0
14,7421,18,1,4,1,0
16,5415,25,9,2,0,0
16,2010,54,9,3,1,0
19,7181,49,8,0,1,1
18,3868,54,8,4,1,0
18,8369,21,1,3,1,0
19,9320,47,8,4,1,0
18,9878,23,3,2,1,1
7,8707,36,7,0,0,1
16,6867,49,1,3,1,0
11,7690,26,1,0,0,0
8,7703,29,5,2,1,1
13,9827,28,5,0,0,0
7,9742,33,8,0,0,1
9,7429,18,7,1,1,1
7,2884,38,8,0,1,1
11,9410,47,6,4,1,0
9,5564,30,6,3,0,1
13,3389,51,2,1,1,0
11,5401,21,6,3,0,0
6,9274,45,5,3,1,1
8,6321,55,3,2,1,1
13,2824,48,6,2,1,0
16,4265,44,8,1,1,1
18,2936,22,9,2,1,0
6,4800,42,1,2,1,1
14,4553,20,3,2,1,1
13,8402,50,3,3,1,0
14,8007,21,8,1,1,1
9,5845,42,1,3,0,1
6,9684,37,5,4,1,1
8,3796,51,3,3,1,1
16,2053,43,2,4,1,0
19,9214,22,8,0,0,0
16,2726,52,3,0,0,0
11,4736,45,7,4,1,0
16,7640,46,1,4,1,0
17,5170,26,6,3,0,0
12,7139,55,3,4,1,0
19,3913,23,8,1,1,0
7,7872,36,6,0,1,1
18,3596,28,2,0,0,0
5,3914,19,6,4,0,1
8,9657,26,7,2,1,1
6,4466,38,5,2,0,1
12,4737,41,3,4,0,0
8,2849,51,4,1,1,1
6,4109,39,4,2,1,1
18,9312,20,6,4,0,0
10,8359,29,1,1,0,0
10,2002,45,4,1,0,0
14,6255,47,4,3,0,0
8,9906,43,1,1,1,1
10,6069,38,9,2,1,1
17,6876,45,4,2,1,1
19,9287,43,7,4,1,0
6,2892,50,3,4,1,1
14,4030,38,3,1,0,0
16,5160,52,8,0,1,1
6,4376,51,8,3,1,1
14,6675,58,1,0,1,1
18,3933,35,2,1,0,0
8,3380,28,8,1,1,1
18,5681,40,1,0,1,1
19,3290,39,8,3,1,0
19,3640,34,8,0,0,0
12,7047,22,2,4,1,0
18,9490,28,4,2,1,1
11,4682,47,6,4,1,0
16,2987,32,9,2,1,0
13,9708,44,8,1,0,0
18,9816,52,8,3,0,0
12,3218,50,7,0,1,0
9,7016,37,9,3,1,1
17,8881,33,2,0,0,0
6,3355,51,3,4,1,1
19,6265,19,8,4,1,0
9,6616,52,6,0,0,1
12,7582,57,9,3,1,0
14,6135,45,4,0,1,1
13,3560,56,8,1,1,0
16,9428,23,3,4,1,0
16,3418,26,3,1,1,0
16,2954,37,8,4,0,0
17,9393,18,5,4,1,0
13,2983,25,3,2,0,0
17,9291,40,1,1,1,1
19,2974,20,3,1,0,0
17,6133,21,9,2,1,1
5,8471,42,5,3,1,1
13,7370,55,2,1,1,1
11,5972,32,7,0,0,0
13,7295,38,2,2,1,1
12,7721,52,4,1,1,1
5,2913,31,7,3,1,1
16,6549,53,4,1,0,0
12,2036,29,7,4,1,0
12,5387,34,7,0,1,1
19,3711,56,1,2,0,0
15,5020,26,6,4,1,0
7,2795,52,9,3,1,1
